year,make,model,price,mileage,price_per_mile
126,2018,Toyota,Camry,28880,21008,0.161
127,2017,Honda,Accord,20678,21020,0.116
128,2016,Chevrolet,Impala,22490,21061,0.126
129,2019,Chevrolet,Impala,19578,21115,0.109
130,2019,Chevrolet,Impala,19211,21212,0.107
131,2017,Honda,Accord,20000,21482,0.112
132,2017,Honda,Accord,20995,21594,0.118
133,2019,Chevrolet,Impala,19753,22126,0.111
134,2017,Honda,Accord,19788,22205,0.111
135,2019,Chevrolet,Impala,19488,22413,0.11
136,2017,Chevrolet,Impala,22975,22465,0.129
137,2017,Honda,Accord,22377,22523,0.126
138,2018,Chevrolet,Impala,22990,22600,0.13
139,2018,Toyota,Camry,27488,22733,0.155
140,2019,Chevrolet,Impala,19987,23234,0.113
141,2017,Honda,Accord,21904,23254,0.124
142,2019,Chevrolet,Impala,20000,23296,0.113
143,2017,Honda,Accord,20999,23344,0.119
144,2017,Honda,Accord,21890,23598,0.124
145,2019,Chevrolet,Impala,19887,23836,0.113
146,2019,Chevrolet,Impala,19211,24109,0.109
147,2017,Toyota,Camry,22091,24134,0.126
148,2019,Chevrolet,Impala,21499,24150,0.122
149,2019,Chevrolet,Impala,20991,24306,0.119
150,2017,Honda,Accord,23872,24639,0.136
151,2019,Chevrolet,Impala,21391,24953,0.122
152,2016,Honda,Accord,21144,25358,0.121
153,2017,Honda,Accord,21991,25364,0.126
154,2019,Chevrolet,Impala,18839,25399,0.108
155,2019,Chevrolet,Impala,21999,25531,0.126
156,2017,Honda,Accord,21750,25626,0.125
157,2019,Chevrolet,Impala,19981,25862,0.115
158,2019,Toyota,Camry,29985,25862,0.172
159,2019,Toyota,Camry,29669,26004,0.171
160,2019,Chevrolet,Impala,17500,26354,0.101
161,2017,Honda,Accord,23980,26472,0.138
162,2017,Toyota,Camry,20699,26574,0.119
163,2019,Chevrolet,Impala,18495,26586,0.107
164,2019,Chevrolet,Impala,21500,26699,0.124
165,2017,Honda,Accord,19995,26762,0.115
166,2017,Honda,Accord,20000,26909,0.116
167,2019,Chevrolet,Impala,19987,26947,0.115
168,2019,Chevrolet,Impala,18136,26997,0.105
169,2017,Chevrolet,Impala,22350,27036,0.129
170,2017,Honda,Accord,20925,27086,0.121
171,2017,Honda,Accord,20000,27182,0.116
172,2019,Chevrolet,Impala,19299,27185,0.112
173,2019,Chevrolet,Impala,19287,27215,0.112
174,2019,Chevrolet,Impala,19981,27226,0.116
175,2017,Honda,Accord,20450,27277,0.118
176,2017,Honda,Accord,21998,27293,0.127
177,2019,Chevrolet,Impala,21691,27314,0.126
178,2019,Chevrolet,Impala,18900,27344,0.109
179,2019,Chevrolet,Impala,21900,27429,0.127
180,2019,Chevrolet,Impala,21987,27461,0.127
181,2016,Honda,Accord,18918,27563,0.11
182,2019,Chevrolet,Impala,22874,27720,0.133
183,2017,Honda,Accord,21835,27752,0.127
184,2019,Chevrolet,Impala,19499,27805,0.113
185,2017,Honda,Accord,19981,28029,0.116
186,2019,Chevrolet,Impala,19650,28309,0.114
187,2018,Chevrolet,Impala,16995,28324,0.099
188,2019,Chevrolet,Impala,22000,28459,0.128
189,2017,Honda,Accord,24566,28556,0.143
190,2019,Chevrolet,Impala,18411,28778,0.108
191,2018,Toyota,Camry,23788,28816,0.139
192,2017,Honda,Accord,19488,28818,0.114
193,2019,Chevrolet,Impala,21014,28886,0.123
194,2017,Chevrolet,Impala,23400,29108,0.137
195,2017,Honda,Accord,22935,29181,0.134
196,2019,Chevrolet,Impala,19365,29273,0.113
197,2019,Chevrolet,Impala,18928,29322,0.111
198,2017,Chevrolet,Impala,17950,29360,0.105
199,2019,Chevrolet,Impala,19981,29360,0.117
